week,type,value
2019 W10,Cleanbot2,22.11
2019 W11,Cleanbot2,23.73
2019 W12,Cleanbot2,20.86
2019 W13,Cleanbot2,21.5
2019 W14,Cleanbot2,23.95
2019 W15,Cleanbot2,26.49
2019 W16,Cleanbot2,20.31
2019 W17,Cleanbot2,24.85
2019 W18,Cleanbot2,23.57
2019 W19,Cleanbot2,24.44
2019 W20,Cleanbot2,24.8
2019 W21,Cleanbot2,21.71
2019 W22,Cleanbot2,22.96
2019 W23,Cleanbot2,27.02
2019 W24,Cleanbot2,18.25
2019 W25,Cleanbot2,20.49
2019 W26,Cleanbot2,18.33
2019 W27,Cleanbot2,25.93
2019 W28,Cleanbot2,21.66
2019 W29,Cleanbot2,22.13
2019 W30,Cleanbot2,24.17
2019 W31,Cleanbot2,27.41
2019 W32,Cleanbot2,23.71
2019 W33,Cleanbot2,19.21
2019 W34,Cleanbot2,21.34
2019 W35,Cleanbot2,20.97
2019 W36,Cleanbot2,19.33
2019 W37,Cleanbot2,23.87
2019 W38,Cleanbot2,21.65
2019 W39,Cleanbot2,22.07
2019 W40,Cleanbot2,21.04
2019 W41,Cleanbot2,24.51
2019 W42,Cleanbot2,15.4
2019 W43,Cleanbot2,18.91
2019 W44,Cleanbot2,21.26
2019 W45,Cleanbot2,18.91
2019 W46,Cleanbot2,20.97
2019 W47,Cleanbot2,21.73
2019 W48,Cleanbot2,22.36
2019 W49,Cleanbot2,19.31
2019 W50,Cleanbot2,20.08
2019 W51,Cleanbot2,25.62
2019 W52,Cleanbot2,21.02
2020 W01,Cleanbot2,20.91
2020 W02,Cleanbot2,19.43
2020 W03,Cleanbot2,22.55
2020 W04,Cleanbot2,19.31
2020 W05,Cleanbot2,20.41
2020 W06,Cleanbot2,19.21
2020 W07,Cleanbot2,20.52
2020 W08,Cleanbot2,22.04
2020 W09,Cleanbot2,22.03
2020 W10,Cleanbot2,19.46
2020 W11,Cleanbot2,19.8
2020 W12,Cleanbot2,15.38
2020 W13,Cleanbot2,12.73
2020 W14,Cleanbot2,12.42
2020 W15,Cleanbot2,18.16
2020 W16,Cleanbot2,17.15
2020 W17,Cleanbot2,14.88
2020 W18,Cleanbot2,17.58
2020 W19,Cleanbot2,20.04
2020 W20,Cleanbot2,18.71
2020 W21,Cleanbot2,16.89
2020 W22,Cleanbot2,19.71
2020 W23,Cleanbot2,18.95
2020 W24,Cleanbot2,17.12
2020 W25,Cleanbot2,20.35
2020 W26,Cleanbot2,18.05
2020 W27,Cleanbot2,17.06
2020 W28,Cleanbot2,16.46
2020 W29,Cleanbot2,19.52
2020 W30,Cleanbot2,16.53
2020 W31,Cleanbot2,17.56
2020 W32,Cleanbot2,16.14
2020 W33,Cleanbot2,18.56
2020 W34,Cleanbot2,16.23
2020 W35,Cleanbot2,17.48
2020 W36,Cleanbot2,15.46
2020 W37,Cleanbot2,17.72
2020 W38,Cleanbot2,17.5
2020 W39,Cleanbot2,16.7
2020 W40,Cleanbot2,16.26
